RUN	cddb.ptest.simulations.CreateEditAndDeleteAlbumSimulation	createeditanddeletealbumsimulation	1606915162900	 	3.3.1
REQUEST	31		delete album	1606915173737	1606915173753	OK	 
USER	Create, edit and delete an album	31	END	1606915170650	1606915173754
REQUEST	32		delete album	1606915173801	1606915173819	OK	 
USER	Create, edit and delete an album	32	END	1606915170727	1606915173819
REQUEST	42		edit album	1606915173837	1606915173854	OK	 
REQUEST	33		delete album	1606915173915	1606915173935	OK	 
USER	Create, edit and delete an album	33	END	1606915170867	1606915173936
USER	Create, edit and delete an album	50	START	1606915174025	1606915174025
REQUEST	50		create album	1606915174026	1606915174040	OK	 
REQUEST	34		delete album	1606915174078	1606915174094	OK	 
USER	Create, edit and delete an album	34	END	1606915171029	1606915174095
USER	Create, edit and delete an album	51	START	1606915174109	1606915174109
REQUEST	51		create album	1606915174109	1606915174124	OK	 
REQUEST	43		edit album	1606915174120	1606915174138	OK	 
REQUEST	44		edit album	1606915174156	1606915174173	OK	 
REQUEST	45		edit album	1606915174296	1606915174312	OK	 
USER	Create, edit and delete an album	52	START	1606915174416	1606915174416
REQUEST	52		create album	1606915174416	1606915174430	OK	 
REQUEST	35		delete album	1606915174511	1606915174527	OK	 
USER	Create, edit and delete an album	35	END	1606915171441	1606915174527
REQUEST	36		delete album	1606915174578	1606915174602	OK	 
USER	Create, edit and delete an album	36	END	1606915171530	1606915174602
REQUEST	46		edit album	1606915174590	1606915174617	OK	 
REQUEST	47		edit album	1606915174589	1606915174620	OK	 
REQUEST	48		edit album	1606915174599	1606915174621	OK	 
REQUEST	49		edit album	1606915174727	1606915174743	OK	 
REQUEST	37		delete album	1606915174816	1606915174832	OK	 
USER	Create, edit and delete an album	37	END	1606915171765	1606915174832
USER	Create, edit and delete an album	53	START	1606915174899	1606915174899
REQUEST	38		delete album	1606915174889	1606915174911	OK	 
USER	Create, edit and delete an album	38	END	1606915171840	1606915174912
REQUEST	53		create album	1606915174900	1606915174915	OK	 
REQUEST	39		delete album	1606915174909	1606915174927	OK	 
USER	Create, edit and delete an album	39	END	1606915171855	1606915174928
USER	Create, edit and delete an album	54	START	1606915174996	1606915174996
REQUEST	54		create album	1606915174997	1606915175012	OK	 
REQUEST	50		edit album	1606915175059	1606915175075	OK	 
USER	Create, edit and delete an album	55	START	1606915175137	1606915175137
REQUEST	55		create album	1606915175138	1606915175154	OK	 
REQUEST	51		edit album	1606915175138	1606915175157	OK	 
REQUEST	52		edit album	1606915175451	1606915175469	OK	 
USER	Create, edit and delete an album	56	START	1606915175496	1606915175496
REQUEST	56		create album	1606915175497	1606915175510	OK	 
REQUEST	40		delete album	1606915175585	1606915175601	OK	 
USER	Create, edit and delete an album	40	END	1606915172538	1606915175602
USER	Create, edit and delete an album	57	START	1606915175647	1606915175647
REQUEST	57		create album	1606915175648	1606915175662	OK	 
REQUEST	41		delete album	1606915175737	1606915175755	OK	 
USER	Create, edit and delete an album	41	END	1606915172685	1606915175755
USER	Create, edit and delete an album	58	START	1606915175768	1606915175768
REQUEST	58		create album	1606915175769	1606915175787	OK	 
REQUEST	42		delete album	1606915175867	1606915175884	OK	 
USER	Create, edit and delete an album	42	END	1606915172820	1606915175885
REQUEST	53		edit album	1606915175931	1606915175947	OK	 
USER	Create, edit and delete an album	59	START	1606915175988	1606915175988
REQUEST	59		create album	1606915175989	1606915176003	OK	 
REQUEST	54		edit album	1606915176032	1606915176046	OK	 
REQUEST	43		delete album	1606915176131	1606915176147	OK	 
USER	Create, edit and delete an album	43	END	1606915173085	1606915176147
REQUEST	55		edit album	1606915176167	1606915176184	OK	 
REQUEST	44		delete album	1606915176177	1606915176198	OK	 
USER	Create, edit and delete an album	44	END	1606915173126	1606915176198
REQUEST	45		delete album	1606915176317	1606915176333	OK	 
USER	Create, edit and delete an album	45	END	1606915173268	1606915176333
REQUEST	56		edit album	1606915176526	1606915176545	OK	 
REQUEST	46		delete album	1606915176618	1606915176632	OK	 
USER	Create, edit and delete an album	46	END	1606915173527	1606915176632
REQUEST	48		delete album	1606915176628	1606915176730	OK	 
USER	Create, edit and delete an album	48	END	1606915173570	1606915176730
REQUEST	47		delete album	1606915176628	1606915176734	OK	 
USER	Create, edit and delete an album	47	END	1606915173527	1606915176734
REQUEST	57		edit album	1606915176676	1606915176737	OK	 
REQUEST	49		delete album	1606915176736	1606915176753	OK	 
USER	Create, edit and delete an album	49	END	1606915173690	1606915176753
REQUEST	58		edit album	1606915176801	1606915176820	OK	 
REQUEST	59		edit album	1606915177021	1606915177038	OK	 
REQUEST	50		delete album	1606915177067	1606915177083	OK	 
USER	Create, edit and delete an album	50	END	1606915174025	1606915177083
REQUEST	51		delete album	1606915177157	1606915177172	OK	 
USER	Create, edit and delete an album	51	END	1606915174109	1606915177173
REQUEST	52		delete album	1606915177467	1606915177484	OK	 
USER	Create, edit and delete an album	52	END	1606915174416	1606915177485
REQUEST	53		delete album	1606915177957	1606915177975	OK	 
USER	Create, edit and delete an album	53	END	1606915174899	1606915177975
REQUEST	54		delete album	1606915178059	1606915178075	OK	 
USER	Create, edit and delete an album	54	END	1606915174996	1606915178075
REQUEST	55		delete album	1606915178189	1606915178203	OK	 
USER	Create, edit and delete an album	55	END	1606915175137	1606915178203
REQUEST	56		delete album	1606915178540	1606915178558	OK	 
USER	Create, edit and delete an album	56	END	1606915175496	1606915178558
REQUEST	57		delete album	1606915178749	1606915178764	OK	 
USER	Create, edit and delete an album	57	END	1606915175647	1606915178764
REQUEST	58		delete album	1606915178827	1606915178843	OK	 
USER	Create, edit and delete an album	58	END	1606915175768	1606915178843
REQUEST	59		delete album	1606915179046	1606915179061	OK	 
USER	Create, edit and delete an album	59	END	1606915175988	1606915179062
